Time_ms; Pressure_Pa; Floor_Marker
59799; 99128.34;1
59850; 99127.97;1
59901; 99129.23;1
59952; 99129.13;1
60003; 99128.28;1
60054; 99127.38;1
60105; 99130.09;1
60156; 99128.44;1
60207; 99128.52;1
60258; 99129.19;1
60309; 99128.95;1
60360; 99128.50;1
60411; 99128.83;1
60462; 99129.53;1
60513; 99127.31;1
60564; 99128.95;1
60615; 99128.42;1
60666; 99128.80;1
60717; 99128.72;1
60768; 99129.44;1
60819; 99128.92;1
60870; 99129.50;1
60921; 99128.75;1
60972; 99128.11;1
61023; 99127.91;1
61074; 99128.52;1
61125; 99128.73;1
61176; 99127.28;1
61227; 99128.75;1
61278; 99129.41;1
61329; 99128.33;1
61380; 99130.31;1
61431; 99129.30;1
61482; 99129.56;1
61533; 99128.70;1
61584; 99129.14;1
61635; 99129.44;1
61686; 99129.25;1
61737; 99129.27;1
61788; 99129.02;1
61839; 99129.88;1
61890; 99129.08;1
61941; 99128.20;1
61992; 99130.22;1
62043; 99129.55;1
62094; 99129.91;1
62145; 99129.17;1
62196; 99130.55;1
62247; 99129.94;1
62298; 99128.50;1
62349; 99130.05;1
62400; 99129.91;1
62451; 99128.83;1
62502; 99129.17;1
62553; 99128.69;1
62604; 99130.91;1
62655; 99129.41;1
62706; 99128.84;1
62757; 99130.13;1
62808; 99130.08;1
62859; 99128.64;1
62910; 99129.70;1
62961; 99129.61;1
63012; 99128.98;1
63063; 99130.23;1
63114; 99129.27;1
63165; 99130.13;1
63216; 99129.48;1
63267; 99131.03;1
63318; 99129.48;1
63369; 99130.83;1
63420; 99128.66;1
63471; 99129.73;1
63522; 99129.14;1
63573; 99129.22;1
63624; 99129.33;1
63675; 99130.39;1
63726; 99130.08;1
63777; 99129.13;1
63828; 99130.11;1
63879; 99129.89;1
63930; 99130.13;1
63981; 99129.97;1
64032; 99129.48;1
64083; 99128.77;1
64134; 99130.25;1
64185; 99129.78;1
64236; 99129.22;1
64287; 99128.48;1
64338; 99129.45;1
64389; 99131.00;1
64440; 99130.27;1
64491; 99129.38;1
64542; 99128.81;1
64593; 99129.66;1
64644; 99128.88;1
64695; 99129.92;1
64746; 99130.14;1
64797; 99129.31;0
64848; 99128.63;0
64899; 99129.78;0
64950; 99129.11;0
65001; 99128.61;0
65052; 99128.58;0
65103; 99128.50;0
65154; 99129.84;0
65205; 99129.69;0
65256; 99129.95;0
65307; 99129.41;0
65358; 99129.70;0
65409; 99128.78;0
65460; 99129.72;0
65511; 99129.63;0
65562; 99127.28;0
65613; 99131.14;0
65664; 99129.84;0
65715; 99130.17;0
65766; 99130.41;0
65817; 99129.84;0
65868; 99129.58;0
65919; 99129.94;0
65970; 99129.69;0
66021; 99129.78;0
66072; 99129.86;0
66123; 99129.41;0
66174; 99130.03;0
66225; 99129.34;0
66276; 99129.42;0
66327; 99130.23;0
66378; 99130.22;0
66429; 99129.78;0
66480; 99129.27;0
66531; 99129.33;0
66582; 99129.08;0
66633; 99130.33;0
66684; 99127.89;0
66735; 99128.66;0
66786; 99129.75;0
66837; 99128.97;0
66888; 99129.66;0
66939; 99129.91;0
66990; 99130.72;0
67041; 99128.73;0
67092; 99129.81;0
67143; 99129.25;0
67194; 99128.52;0
67245; 99128.75;0
67296; 99129.17;0
67347; 99128.80;0
67398; 99129.81;0
67449; 99127.59;0
67500; 99129.02;0
67551; 99129.11;0
67602; 99130.81;0
67653; 99128.47;0
67704; 99129.78;0
67755; 99129.00;0
67806; 99130.48;0
67857; 99128.30;0
67908; 99128.66;0
67959; 99128.48;0
68010; 99129.23;0
68061; 99130.20;0
68112; 99130.50;0
68163; 99128.41;0
68214; 99129.25;0
68265; 99129.27;0
68316; 99129.13;0
68367; 99128.02;0
68418; 99128.28;0
68469; 99128.25;0
68520; 99128.63;0
68571; 99128.42;0
68622; 99129.89;0
68673; 99129.17;0
68724; 99129.05;0
68775; 99129.25;0
68826; 99127.56;0
68877; 99128.77;0
68928; 99130.00;0
68979; 99128.53;0
69030; 99129.45;0
69081; 99129.11;0
69132; 99128.70;0
69183; 99128.80;0
69234; 99129.58;0
69285; 99128.83;0
69336; 99128.73;0
69387; 99128.78;0
69438; 99127.13;0
69489; 99128.67;0
69540; 99128.80;0
69591; 99129.25;0
69642; 99128.91;0
69693; 99129.84;0
69744; 99129.00;0
69795; 99128.77;0
69846; 99127.70;0
69897; 99129.19;0
69948; 99128.70;0
69999; 99129.06;0
70050; 99129.25;0
70101; 99127.14;0
70152; 99129.64;0
70203; 99130.02;0
70254; 99129.22;0
70305; 99129.05;0
70356; 99128.31;0
70407; 99128.63;0
70458; 99131.00;0
70509; 99128.88;0
70560; 99129.98;0
70611; 99129.02;0
70662; 99130.09;0
70713; 99127.81;0
70764; 99129.64;0
70815; 99129.44;0
70866; 99128.97;0
70917; 99129.86;0
70968; 99130.28;0
71019; 99130.06;0
71070; 99128.70;0
71121; 99128.34;0
71172; 99129.58;0
71223; 99128.75;0
71274; 99128.30;0
71325; 99130.36;0
71376; 99129.19;0
71427; 99130.00;0
71478; 99128.73;0
71529; 99128.33;0
71580; 99129.67;0
71631; 99128.86;0
71682; 99129.53;0
71733; 99129.30;0
71784; 99128.67;0
71835; 99129.23;0
71886; 99129.63;0
71937; 99129.84;0
71988; 99129.61;0
72039; 99128.17;0
72090; 99128.53;0
72141; 99128.89;0
72192; 99130.02;0
72243; 99129.25;0
72294; 99129.80;0
72345; 99128.08;0
72396; 99128.09;0
72447; 99130.67;0
72498; 99129.39;0
72549; 99129.27;0
72600; 99129.78;0
72651; 99128.53;0
72702; 99130.63;0
72753; 99131.20;0
72804; 99128.69;0
72855; 99130.86;0
72906; 99130.83;0
72957; 99129.95;0
73008; 99130.64;0
73059; 99130.84;0
73110; 99130.31;0
73161; 99130.80;0
73212; 99132.53;0
73263; 99132.38;0
73314; 99131.81;0
73365; 99131.97;0
73416; 99132.33;0
73467; 99132.73;0
73518; 99131.48;0
73569; 99133.36;0
73620; 99133.63;0
73671; 99135.80;0
73722; 99134.23;0
73773; 99134.16;0
73824; 99136.66;0
73875; 99135.55;0
73926; 99137.05;0
73977; 99138.05;0
74028; 99136.34;0
74079; 99137.97;0
74130; 99139.58;0
74181; 99139.44;0
74232; 99140.69;0
74283; 99140.08;0
74334; 99140.84;0
74385; 99141.58;0
74436; 99142.80;0
74487; 99141.94;0
74538; 99143.34;0
74589; 99142.83;0
74640; 99144.47;0
74691; 99143.64;0
74742; 99146.02;0
74793; 99145.61;0
74844; 99147.00;0
74895; 99147.91;0
74946; 99146.75;0
74997; 99150.03;0
75048; 99149.19;0
75099; 99149.97;0
75150; 99150.59;0
75201; 99152.08;0
75252; 99152.45;0
75303; 99152.83;0
75354; 99153.20;0
75405; 99154.73;0
75456; 99153.11;0
75507; 99155.27;0
75558; 99156.45;0
75609; 99154.88;0
75660; 99156.08;0
75711; 99156.64;0
75762; 99156.53;0
75813; 99157.53;0
75864; 99157.80;0
75915; 99159.03;0
75966; 99158.67;0
76017; 99158.53;0
76068; 99157.25;0
76119; 99158.97;0
76170; 99159.56;0
76221; 99160.56;0
76272; 99160.28;0
76323; 99159.55;1
76374; 99160.53;1
76425; 99160.91;1
76476; 99161.34;1
76527; 99161.89;1
76578; 99163.44;1
76629; 99162.19;1
76680; 99162.28;1
76731; 99160.91;1
76782; 99162.50;1
76833; 99161.98;1
76884; 99161.34;1
76935; 99162.17;1
76986; 99161.63;1
77037; 99162.16;1
77088; 99161.75;1
77139; 99162.03;1
77190; 99162.48;1
77241; 99162.69;1
77292; 99161.38;1
77343; 99162.94;1
77394; 99162.39;1
77445; 99162.19;1
77496; 99162.58;1
77547; 99162.25;1
77598; 99162.86;1
77649; 99161.41;1
77700; 99162.83;1
77751; 99162.63;1
77802; 99163.22;1
77853; 99162.88;1
77904; 99162.64;1
77955; 99162.56;1
78006; 99162.88;1
78057; 99162.48;1
78108; 99163.34;1
78159; 99163.53;1
78210; 99162.02;1
78261; 99162.61;1
78312; 99162.69;1
78363; 99164.25;1
78414; 99161.95;1
78465; 99163.28;1
78516; 99162.61;1
78567; 99162.03;1
78618; 99163.56;1
78669; 99163.27;1
78720; 99160.70;1
78771; 99162.81;1
78822; 99162.31;1
78873; 99163.09;1
78924; 99161.28;1
78975; 99161.92;1
79026; 99163.27;1
79077; 99161.97;0
79128; 99160.55;0
79179; 99162.31;0
79230; 99162.77;0
79281; 99161.70;0
79332; 99162.84;0
79383; 99162.25;0
79434; 99163.11;0
79485; 99163.00;0
79536; 99163.13;0
79587; 99162.66;0
79638; 99161.73;0
79689; 99162.84;0
79740; 99162.56;0
79791; 99162.44;0
79842; 99162.36;0
79893; 99162.47;0
79944; 99162.42;0
79995; 99161.73;0
80046; 99161.16;0
80097; 99163.78;0
80148; 99162.78;0
80199; 99162.50;0
80250; 99161.88;0
80301; 99162.73;0
80352; 99161.59;0
80403; 99163.66;0
80454; 99162.58;0
80505; 99164.09;0
80556; 99161.94;0
80607; 99162.02;0
80658; 99162.30;0
80709; 99162.73;0
80760; 99163.20;0
80811; 99162.78;0
80862; 99163.94;0
80913; 99163.52;0
80964; 99162.53;0
81015; 99162.30;0
81066; 99162.81;0
81117; 99163.33;0
81168; 99163.34;0
81219; 99163.47;0
81270; 99163.23;0
81321; 99163.50;0
81372; 99162.41;0
81423; 99162.67;0
81474; 99163.05;0
81525; 99162.89;0
81576; 99162.86;0
81627; 99163.59;0
81678; 99162.98;0
81729; 99163.28;0
81780; 99163.63;0
81831; 99163.39;0
81882; 99162.48;0
81933; 99163.39;0
81984; 99162.56;0
82035; 99164.03;0
